"","bmigr","sub","sex","x","p1","p2.3","p3","p5","p10","p16","p20","p25","p50","p75","p80","p84","p90","p95","p97","p99"
"1",1,"N","W",10,-6.43,-4.91,-4.44,-3.55,-2.36,-1.53,-1.12,-0.68,1.01,2.88,3.42,3.97,5.15,7.09,8.76,13.54
"2",1,"N","W",11,-6.23,-4.72,-4.25,-3.37,-2.19,-1.35,-0.940000000000001,-0.489999999999998,1.22,3.12,3.66,4.21,5.39,7.3,8.95,13.54
"3",1,"N","W",12,-6.03,-4.53,-4.07,-3.19,-2,-1.16,-0.739999999999998,-0.300000000000001,1.45,3.36,3.92,4.46,5.64,7.55,9.16,13.6
"4",1,"N","W",13,-5.82,-4.33,-3.87,-3,-1.8,-0.960000000000001,-0.530000000000001,-0.0799999999999983,1.69,3.63,4.19,4.74,5.92,7.81,9.4,13.7
"5",1,"N","W",14,-5.59,-4.12,-3.66,-2.78,-1.58,-0.73,-0.300000000000001,0.16,1.96,3.93,4.49,5.05,6.23,8.11,9.68,13.86
"6",1,"N","W",15,-5.35,-3.89,-3.43,-2.55,-1.34,-0.48,-0.0399999999999991,0.43,2.26,4.26,4.83,5.39,6.58,8.46,10,14.09
"7",1,"N","W",16,-5.09,-3.62,-3.16,-2.28,-1.06,-0.190000000000001,0.25,0.73,2.59,4.63,5.21,5.78,6.97,8.85,10.38,14.36
"8",1,"N","W",17,-4.8,-3.34,-2.87,-1.99,-0.75,0.129999999999999,0.579999999999998,1.07,2.97,5.05,5.64,6.21,7.42,9.3,10.82,14.73
"9",1,"N","W",18,-4.49,-3.02,-2.56,-1.66,-0.41,0.489999999999998,0.949999999999999,1.44,3.39,5.52,6.11,6.7,7.92,9.81,11.32,15.17
"10",1,"N","W",19,-4.16,-2.68,-2.21,-1.3,-0.0399999999999991,0.879999999999999,1.35,1.86,3.85,6.02,6.63,7.23,8.47,10.36,11.88,15.68
"11",1,"N","W",20,-3.8,-2.31,-1.84,-0.920000000000002,0.359999999999999,1.3,1.78,2.3,4.34,6.56,7.18,7.79,9.04,10.95,12.46,16.22
"12",1,"N","W",21,-3.44,-1.94,-1.47,-0.539999999999999,0.77,1.73,2.22,2.75,4.84,7.12,7.75,8.37,9.64,11.57,13.08,16.8
